NIOZ140.64;NIOZ140.70;NIOZ140.79;NIOZ140.75;NIOZ140.68;NIOZ140.61;NIOZ140.86;NIOZ140.66;NIOZ140.80;NIOZ140.81;NIOZ140.84;NIOZ140.113;NIOZ140.72;NIOZ140.95;NIOZ140.100;NIOZ140.67;NIOZ140.115;NIOZ140.110;NIOZ140.74;NIOZ140.111;NIOZ140.85;NIOZ140.106;NIOZ140.69;NIOZ140.96;NIOZ140.101;NIOZ140.88;NIOZ140.122;NIOZ140.73;NIOZ140.99;NIOZ140.102;NIOZ140.112;NIOZ140.63;NIOZ140.121;NIOZ140.109;NIOZ140.65;NIOZ140.120;NIOZ140.83;NIOZ140.116;NIOZ140.104;NIOZ140.97;NIOZ140.107;NIOZ140.98;NIOZ140.78;NIOZ140.93;NIOZ140.105;NIOZ140.91;NIOZ140.117;NIOZ140.77;NIOZ140.87;NIOZ140.89;NIOZ140.118;NIOZ140.103;NIOZ140.92;NIOZ140.114;NIOZ140.76;NIOZ140.94;NIOZ140.119;NIOZ140.108
0;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;218;128;0;0;320;0;178;0;0;396;0;0;156;456;96;370;246;0;136;42;268;420;0;0;0;0;114;228;0;144;0;0;0;70;284;0;48;54;18;0;0
0;0;242;0;0;0;24;0;0;64;0;0;66;0;0;0;0;0;0;0;0;0;0;180;232;0;0;40;70;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;0;0;0;174;200;0;0;0;0;0;0;0;0;0;0;0;0;114;82;0;0;0;0;0;0;0;34;0;0;0;94;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;36;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;20;0;0;0;240;0;0;0;0;0;0;116;20;0;0;76;0;0;108;0;190;0;0;0;90;0;28;42;0;50;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;254;234;0;0;174;0;0;76;0;0;0;0;0;0;0;0;0;162;58;0;0;0;168;30;120;178;0;0;0;60;0;54;0;122;6;0;0;94;58;0;14;0;4;0;0
0;0;0;0;0;0;58;0;0;0;0;0;0;0;12;0;0;764;0;0;0;0;0;292;0;0;166;0;0;0;138;88;0;0;0;400;16;316;76;0;360;0;0;0;66;0;66;0;0;0;326;0;0;20;0;14;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;20;44;0;0;104;0;98;0;0;60;0;14;32;206;234;88;0;0;0;0;68;0;0;494;44;0;18;92;0;78;0;0;0;46;0;0;0;0;14;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;234;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;606;16;794;92;468;562;236;154;492;34;0;214;0;224;138;202;152;644;460;28;2;104;666;186;28;0;28;218;78;0;84;24;80;182;164;32;14;72;206;238;134;2;72;44;48;54;0;42;464;26;0;46;64;64;18;192;0
0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;0;42;130;0;0;0;0;86;0;28;70;0;0;0;0;0;0;0;0;0;0;126;0;0;16;0;0;38;0;0;0;192;54;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;630;0;0;128;630;0;98;258;124;0;274;38;0;738;32;50;764;76;124;0;474;0;272;44;234;4;0;0;78;0;34;424;0;42;0;0;0;426;64;0;120;0;106;316;10
0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;122;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;26;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;174;0;0;0;0;0;0;0;0;32;10;0;82;218;0;0;154;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;198;0;0;18;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;236;114;0;0;108;0;0;0;0;0;102;24;20;260;114;38;216;0;0;0;0;16;90;0;0;54;84;0;144;0;0;0;0;0;120;62;0;264;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;216;0;0;0;0;0;0;0;0;0;0;110;0;0;78;110;58;0;0;0;0;0;0;62;0;0;0;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0
210;172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
344;0;0;0;16;0;0;0;132;0;0;0;0;56;0;0;0;0;0;0;0;0;0;76;0;0;4;20;0;0;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;10;54;0;0;0;0;0;0;0;0;0;0;0
0;298;0;0;0;0;0;0;112;0;0;0;0;0;0;0;78;0;80;0;0;304;0;268;0;0;180;0;0;46;20;114;0;0;0;0;12;148;56;0;384;0;0;10;152;0;224;0;0;0;546;14;10;116;0;32;0;0
0;608;0;0;0;0;0;0;118;0;0;112;0;62;0;0;58;40;0;0;0;54;62;194;84;0;0;20;14;0;0;0;46;74;0;122;0;20;16;134;0;0;40;0;0;0;0;0;0;0;56;0;0;34;0;0;422;0
0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;116;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;206;0;0;0;0;148;0;0;0;0;0;0;0;362;0;350;120;0;230;0;0;68;238;0;304;0;0;144;0;180;170;0;0;0;0;34;296;0;168;0;0;0;82;62;0;52;0;42;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;476;0;0;0;40;0;0;50;14;50;0;0;0;0;0;0;94;0;58;0;0;206;130;0;0;0;0;0;0;644;0;0;0;0;0;0;20;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;0;0;80;0;0;0;0;0;0;78;218;0;0;0;0;68;0;230;0;0;0;0;0;0;36;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
